dayIso	month	symbol	type	stockAttempted	quoteAttempted	tradeAttempted	enrichAttempted	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-12-09	2025-12	HAL	open	true	true	true	true	406	390	390	406	332	332	16	0	58	0
2025-12-09	2025-12	HD	open	true	true	true	true	406	390	390	406	388	388	16	0	2	0
2025-12-09	2025-12	HON	open	true	true	true	true	406	390	390	406	285	285	16	0	105	0
2025-12-09	2025-12	ICE	open	true	true	true	true	406	390	360	406	89	89	46	0	301	0
2025-12-09	2025-12	JNJ	open	true	true	true	true	406	390	390	406	383	383	16	0	7	0
2025-12-09	2025-12	KEY	open	true	true	true	true	406	390	390	406	313	313	16	0	77	0
2025-12-09	2025-12	KHC	open	true	true	true	true	406	390	390	406	333	333	16	0	57	0
2025-12-09	2025-12	KO	open	true	true	true	true	406	390	390	406	385	385	16	0	5	0
2025-12-09	2025-12	LMT	open	true	true	true	true	406	390	390	406	334	334	16	0	56	0
2025-12-09	2025-12	LOW	open	true	true	true	true	406	390	390	406	292	292	16	0	98	0
2025-12-09	2025-12	MA	open	true	true	true	true	406	390	390	406	371	371	16	0	19	0
2025-12-09	2025-12	MCD	open	true	true	true	true	406	390	390	406	347	347	16	0	43	0
2025-12-09	2025-12	MMM	open	true	true	true	true	406	390	390	406	292	292	16	0	98	0
2025-12-09	2025-12	MO	open	true	true	true	true	406	390	390	406	342	342	16	0	48	0
