s.day_iso	s.symbol	expected_slots	stock_slots	quote_slots	trade_slots	enrich_slots
2025-11-10	UPST	406	406	406	387	387
2025-11-10	USB	406	406	406	260	260
2025-11-10	V	406	406	406	390	390
2025-11-10	VLO	406	406	406	345	345
2025-11-10	WFC	406	406	406	379	379
2025-11-10	WMT	406	406	406	390	390
2025-11-10	XOM	406	406	406	384	384
2025-11-11	AAPL	406	406	406	390	390
2025-11-11	ABBV	406	406	406	376	376
2025-11-11	ABNB	406	406	406	378	378
2025-11-11	ADBE	406	406	406	390	390
2025-11-11	AFRM	406	406	406	384	384
2025-11-11	ALLY	406	406	406	119	119
2025-11-11	AMD	406	406	406	390	390
2025-11-11	AMGN	406	406	406	380	380
2025-11-11	AMZN	406	406	406	390	390
2025-11-11	AVGO	406	406	406	390	390
2025-11-11	AXP	406	406	406	370	370
2025-11-11	BA	406	406	406	390	390
2025-11-11	BAC	406	406	406	390	390
2025-11-11	BLK	406	406	406	198	198
2025-11-11	BMY	406	406	406	390	390
2025-11-11	C	406	406	406	376	376
2025-11-11	CAT	406	406	406	378	378
2025-11-11	CL	406	406	406	281	281
2025-11-11	CME	406	406	406	158	158
2025-11-11	CMG	406	406	406	390	390
2025-11-11	COIN	406	406	406	390	390
2025-11-11	COP	406	406	406	358	358
2025-11-11	COST	406	406	406	390	390
2025-11-11	CRM	406	406	406	390	390
2025-11-11	CSCO	406	406	406	390	390
2025-11-11	CVS	406	406	406	359	359
2025-11-11	CVX	406	406	406	386	386
2025-11-11	DE	406	406	406	252	252
2025-11-11	DIS	406	406	406	390	390
2025-11-11	EOG	406	406	406	282	282
2025-11-11	ETN	406	406	406	246	246
2025-11-11	GE	406	406	406	360	360
2025-11-11	GILD	406	406	406	322	322
2025-11-11	GIS	406	406	406	213	213
2025-11-11	GOOGL	406	406	406	390	390
2025-11-11	GS	406	406	406	390	390
2025-11-11	HAL	406	406	406	363	363
2025-11-11	HD	406	406	406	387	387
2025-11-11	HON	406	406	406	314	314
2025-11-11	HOOD	406	406	406	390	390
2025-11-11	ICE	406	406	406	78	78
2025-11-11	INTC	406	406	406	390	390
2025-11-11	JNJ	406	406	406	389	389
2025-11-11	JPM	406	406	406	389	389
2025-11-11	KEY	406	406	406	178	178
2025-11-11	KHC	406	406	406	349	349
2025-11-11	KO	406	406	406	390	390
2025-11-11	LLY	406	406	406	390	390
